WR;VEG;WR2;DC_WR;DC_VEG
1538;1538;1538;1538;1538
1745;1742;1747;1746;1744
1748;1744;1745;1749;1745
1747;1745;1747;1747;1743
69171;4709;62689;2173;2169
69455;4811;63112;2220;2204
69594;4754;63246;2185;2175
69457;4790;63049;2210;2218
69174;4725;62485;2198;2213
68632;4792;62434;2284;2283
67786;4745;61487;2222;2224
66533;4657;60295;2230;2225
64950;4663;59054;2277;2267
65015;4586;58809;2220;2213
66585;4690;60372;2256;2244
68511;4814;62084;2299;2301
68556;4763;62039;2269;2261
68505;4799;61925;2284;2289
68554;4843;62413;2350;2328
68400;4765;62098;2294;2296
68872;4783;62384;2296;2276
68586;4773;62325;2322;2316
67872;4810;61820;2348;2353
67932;4726;61753;2328;2314
68713;4867;62583;2375;2368
68968;4873;62723;2385;2393
69229;4879;62844;2406;2383
68750;4790;62567;2311;2325
67884;4805;61555;2360;2369
66843;4692;60686;2286;2287
66522;4797;60447;2379;2369
66387;4688;60184;2316;2331
66805;4712;60747;2312;2313
67149;4757;60999;2350;2339
65875;4613;59909;2274;2281
65025;4702;59124;2406;2380
63902;4633;57965;2388;2379
61972;4560;56379;2351;2347
58850;4469;53457;2442;2473
53948;4237;48911;2348;2349
47271;4034;42839;2388;2388
49976;4156;45278;2423;2412
59890;4437;54328;2367;2361
64033;4624;58217;2375;2370
64867;4631;58938;2357;2341
65889;4709;59995;2388;2406
66540;4669;60416;2343;2357
66924;4657;60754;2345;2341
67614;4696;61529;2341;2326
69680;4835;63302;2427;2410
69935;4773;63685;2370;2359
69834;4749;63503;2357;2359
70049;4715;63334;2355;2362
70256;4795;63575;2368;2383
70139;4741;63574;2349;2326
70159;4817;63488;2429;2430
71039;4827;64245;2422;2422
70934;4855;64267;2431;2438
69332;4736;62981;2339;2361
68332;4691;61858;2370;2355
70601;4751;63960;2397;2378
71349;4823;64703;2396;2397
71254;4806;64609;2389;2392
72020;4794;65484;2428;2429
72408;4781;65663;2336;2341
72207;4816;65694;2405;2399
71953;4767;65350;2346;2344
72164;4840;65359;2452;2451
71550;4749;64942;2390;2380
72076;4824;65590;2443;2457
72996;4836;66292;2408;2406
73371;4886;66553;2461;2456
73702;4809;66953;2429;2434
73908;4841;67005;2441;2427
74073;4835;67097;2407;2432
73908;4801;67279;2394;2387
74183;4857;67427;2452;2425
73980;4778;67213;2386;2384
74158;4821;67219;2429;2430
73860;4807;67104;2444;2434
73722;4767;66982;2409;2407
73976;4830;66962;2455;2454
73053;4706;66384;2361;2353
71903;4624;65197;2364;2347
72047;4666;65308;2350;2339
74145;4801;67291;2428;2422
74636;4742;67659;2390;2380
74253;4758;67325;2399;2402
74329;4766;67442;2443;2432
73537;4730;66607;2401;2379
73782;4688;66993;2362;2362
75069;4771;68137;2434;2431
75410;4789;68410;2423;2428
75772;4903;68740;2538;2513
75805;4772;69005;2456;2438
75647;4753;68864;2363;2355
75896;4737;68678;2360;2336
76001;4770;69042;2401;2394
76090;4802;68940;2438;2441
